"CL","CD"
"0.051","0.014"
"0.146","0.0118"
"0.254","0.0101"
"0.277","0.0093"
"0.3","0.0089"
"0.351","0.0089"
"0.465","0.0093"
"0.573","0.0099"
"0.685","0.0104"
"0.792","0.0109"
"0.901","0.0114"
"1.009","0.0117"
"1.02","0.0119"
"1.034","0.0119"
"1.059","0.0123"
"1.106","0.0129"
"1.18","0.0168"
"1.226","0.0228"
"1.251","0.0316"
"1.241","0.0621"
