"CL","CM"
"0.051","-0.0768"
"0.146","-0.0788"
"0.254","-0.0807"
"0.277","-0.0798"
"0.3","-0.0781"
"0.351","-0.0768"
"0.465","-0.0784"
"0.573","-0.0785"
"0.685","-0.0795"
"0.792","-0.0794"
"0.901","-0.0799"
"1.009","-0.0799"
"1.02","-0.0799"
"1.034","-0.0797"
"1.059","-0.0793"
"1.106","-0.0785"
"1.18","-0.0756"
"1.226","-0.0711"
"1.251","-0.0661"
"1.241","-0.067"
